filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	aligned_speed_bps_template
292	292	A	131	30.8091	5.79814	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
293	293	A	437	132.03453	5.16169	1036	FALSE	0	1036	5.16169	1036	177	5.939	-0.0031	filtered_out	-1	-1	0
294	294	A	205	11.14575	5.91368	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
295	295	A	14	12.33798	3.33898	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
296	296	A	272	11.17629	5.84861	1174	TRUE	0	1174	5.84861	1174	260	7.008	-0.0025	filtered_out	-1	-1	0
297	297	A	251	7.97842	6.43094	1291	FALSE	0	1291	6.43094	1291	91	5.105	-0.0017	filtered_out	-1	-1	0
298	298	A	398	153.43127	4.15438	834	FALSE	0	834	4.15438	834	30	4.263	-0.002	filtered_out	-1	-1	0
299	299	A	142	18.26527	3.76627	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
300	300	A	60	14.28254	6.50797	1306	FALSE	0	1306	6.50797	1306	264	6.219	-0.0014	filtered_out	-1	-1	0
301	301	A	342	116.16434	7.77855	1561	TRUE	0	1561	7.77855	1561	496	8.46	-7.00E-04	filtered_out	-1	-1	0
302	302	A	144	26.97444	5.15571	1035	FALSE	0	1035	5.15571	1035	208	6.294	-0.002	filtered_out	-1	-1	0
303	303	A	148	10.95086	6.58931	1323	FALSE	0	1323	6.58931	1323	221	6.096	-0.0017	filtered_out	-1	-1	0
304	304	A	61	131.2749	4.13579	830	FALSE	0	830	4.13579	830	135	5.457	-0.0019	filtered_out	-1	-1	0
305	305	A	64	137.15206	4.10923	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
306	306	A	459	10.10359	5.2261	1049	FALSE	0	1049	5.2261	1049	263	6.624	-0.0025	filtered_out	-1	-1	0
307	307	A	472	93.18891	6.12151	1229	FALSE	0	1229	6.12151	1229	244	6.824	-0.0034	filtered_out	-1	-1	0
308	308	A	19	8.10159	5.83566	1171	FALSE	0	1171	5.83566	1171	204	6.249	-0.0023	filtered_out	-1	-1	0
309	309	A	386	122.56375	19.59761	3935	TRUE	0	3935	19.59761	3935	1364	10.08	-7.00E-04	YHR174W	0.974735141	0.912280679	70.59893036
